Date,Favorable,Unfavorable,Don't Know,Democrat_Favorable,Democrat_Unfavorable,Democrat_Don't Know,Independent_Favorable,Independent_Unfavorable,Independent_Don't know,Republican_Favorable,Republican_Unfavorable,Republican_Don't know,"Less than $40,000_Favorable","Less than $40,000_Unfavorable","Less than $40,000_Don't know","$40,000-$89,999_Favorable","$40,000-$89,999_Unfavorable","$40,000-$89,999_Don't know","$90,000 or more_Favorable","$90,000 or more_Unfavorable","$90,000 or more_Don't know",18-64_Favorable,18-64_Unfavorable,18-64_Don't know,18-29_Favorable,18-29_Unfavorable,18-29_Don't know,30-49_Favorable,30-49_Unfavorable,30-49_Don't know,50-64_Favorable,50-64_Unfavorable,50-64_Don't know,65+_Favorable,65+_Unfavorable,65+_Don't know,Men_Favorable,Men_Unfavorable,Men_Don't know,Women_Favorable,Women_Unfavorable,Women_Don't know,White_Favorable,White_Unfavorable,White_Don't know,Black_Favorable,Black_Unfavorable,Black_Don't know,Hispanic_Favorable,Hispanic_Unfavorable,Hispanic_Don't know
4/1/10,46,40,14,78,13,10,36,46,18,13,78,9,50,32,18,45,44,12,44,48,8,49,37,15,47,28,25,50,37,13,47,43,9,32,55,12,43,43,14,48,37,15,39,48,13,67,10,24,68,18,14
5/1/10,41,44,14,72,14,14,37,49,14,8,85,8,47,36,17,42,50,7,40,51,8,43,42,14,45,36,20,49,38,13,35,52,13,35,51,14,39,47,14,45,41,14,35,53,12,65,17,18,54,29,18
6/1/10,48,41,10,69,19,13,49,41,11,23,69,7,49,35,16,53,42,5,48,51,2,52,39,9,57,27,17,56,38,6,45,48,8,32,51,18,49,43,8,48,40,13,43,47,10,68,16,16,66,21,14
7/1/10,50,35,14,73,15,12,48,37,15,21,69,10,56,22,21,47,44,9,49,45,5,53,33,14,68,15,18,56,33,11,39,46,15,38,46,17,50,36,15,51,36,14,45,43,13,67,11,23,73,14,13
8/1/10,43,45,12,68,17,14,41,48,10,16,77,8,46,40,14,46,44,10,42,55,3,46,42,12,42,44,14,53,35,12,40,51,9,34,53,13,41,46,14,47,44,10,36,52,11,64,22,13,62,28,11
9/1/10,49,40,11,75,13,12,42,45,12,21,73,6,54,29,16,48,44,8,36,59,5,51,37,11,56,25,19,56,39,6,42,46,12,38,49,13,50,41,9,48,38,13,42,47,11,77,12,11,60,29,11
10/1/10,42,44,15,69,18,13,34,49,18,11,79,10,47,36,17,43,47,11,41,52,7,44,42,14,49,28,22,46,43,11,37,51,12,32,52,16,41,45,14,43,42,15,34,51,15,66,22,12,66,23,12
11/1/10,42,40,18,68,13,19,37,44,19,15,70,14,44,31,25,39,48,12,44,48,8,42,39,19,42,25,34,43,40,17,39,48,12,38,46,16,41,41,17,42,38,20,32,51,16,66,9,25,59,17,24
12/1/10,42,41,18,69,16,15,37,41,21,12,76,12,42,35,23,47,45,8,43,46,12,44,40,16,48,28,23,48,40,13,36,51,14,34,40,26,41,43,15,42,38,20,34,49,17,73,14,12,52,24,25
1/1/11,41,50,9,73,17,10,34,57,8,12,81,6,41,47,13,38,57,6,46,51,4,41,51,8,48,41,11,39,53,8,39,54,7,40,50,10,38,54,8,44,47,9,33,59,8,76,14,10,51,39,9
2/1/11,43,48,8,66,26,9,43,47,9,11,84,4,46,43,12,44,52,5,43,53,4,45,46,8,53,33,15,44,48,7,41,53,5,32,59,9,43,50,8,44,46,9,37,56,8,64,24,11,59,33,9
3/1/11,42,46,13,71,16,13,37,49,14,9,82,8,41,42,17,41,48,10,42,52,6,42,44,14,48,31,20,44,44,12,34,54,13,40,52,8,43,46,11,40,45,15,34,54,12,67,16,16,59,23,18
4/1/11,41,41,18,64,17,20,41,44,17,12,74,14,43,35,22,40,45,16,49,45,6,43,41,16,40,31,29,49,38,13,39,51,11,31,45,24,39,42,18,43,40,18,32,49,18,57,19,24,71,16,12
5/1/11,42,44,14,72,15,12,35,49,16,17,74,9,44,38,18,47,44,9,36,54,10,44,43,14,46,33,22,46,43,11,37,49,14,36,53,11,41,46,13,43,43,14,33,55,12,66,10,23,63,25,12
6/1/11,42,46,12,65,21,14,33,53,13,20,73,6,39,44,17,48,44,8,38,58,4,44,44,11,50,31,19,50,40,10,32,60,8,31,54,15,37,52,10,46,40,13,36,53,11,58,26,17,59,28,13
7/1/11,42,43,15,64,20,16,38,49,13,16,71,12,47,35,18,39,48,13,42,52,6,44,42,14,47,30,24,48,40,12,38,51,11,32,50,18,40,47,13,43,40,17,36,52,13,58,24,19,56,23,21
8/1/11,39,44,17,60,27,13,33,48,19,24,65,12,38,39,22,44,46,10,37,56,8,40,44,17,42,31,27,42,43,15,35,53,11,35,46,18,39,43,18,39,45,16,36,48,16,55,27,20,46,31,24
9/1/11,41,43,16,65,18,16,36,48,17,14,76,10,40,37,23,47,45,8,39,50,11,43,42,15,42,31,28,45,45,11,41,48,11,34,46,19,38,46,15,44,40,16,35,52,13,54,20,25,63,16,21
10/1/11,34,51,15,52,31,17,32,52,16,11,81,8,34,46,19,37,56,7,38,57,5,35,50,15,37,40,23,36,50,14,31,57,11,29,58,13,31,55,14,38,47,16,29,60,12,51,30,19,44,35,20
11/1/11,37,44,19,62,21,17,34,47,20,12,78,11,37,38,26,39,44,17,44,49,7,38,43,19,42,30,28,39,41,20,33,57,9,36,46,18,37,46,18,39,42,19,31,54,16,60,15,25,49,23,28
12/1/11,41,43,17,64,20,15,33,50,17,19,69,12,46,35,18,35,48,17,49,42,9,44,41,16,48,30,22,43,40,17,41,48,12,31,50,18,39,46,16,44,40,18,31,52,17,61,21,18,69,15,15
1/1/12,37,44,19,62,19,19,30,51,18,12,73,15,37,37,25,38,47,14,39,50,11,37,43,20,37,34,29,35,47,18,39,44,16,35,51,14,35,46,20,39,42,19,32,52,16,50,21,30,52,33,15
2/1/12,42,43,15,64,18,17,40,39,21,16,76,7,51,30,19,40,49,11,37,53,10,43,43,15,41,35,23,43,46,11,43,43,13,39,42,19,39,46,16,46,40,15,35,50,15,63,25,12,57,25,18
3/1/12,41,40,19,66,12,22,40,42,17,12,75,14,44,30,25,37,47,15,43,48,10,40,40,20,34,34,31,46,38,16,38,47,15,44,42,14,40,46,14,43,34,23,34,49,18,60,16,24,66,17,16
4/1/12,42,43,15,70,14,16,39,47,13,7,82,11,42,36,22,44,47,9,40,55,6,43,42,15,47,25,28,43,45,12,40,51,9,33,51,17,38,48,14,44,40,16,34,53,13,56,15,29,63,24,13
5/1/12,37,44,19,62,18,20,34,49,17,8,82,10,38,39,23,38,47,15,39,47,13,38,43,19,33,35,31,43,39,18,36,54,10,30,49,21,31,50,19,42,39,19,32,52,17,59,19,21,43,32,25
